buy_order,sell_order,percent_change
"{'orderType': True, 'location': 60004468, 'price': 300000.0, 'system': 30000195, 'item': 17366, 'volume': 3}","{'orderType': False, 'location': 60003760, 'price': 27700.0, 'system': 30000142, 'item': 17366, 'volume': 15}",983.0324909747292
"{'orderType': True, 'location': 60003349, 'price': 2861.99, 'system': 30000165, 'item': 3777, 'volume': 669}","{'orderType': False, 'location': 60004360, 'price': 337.3, 'system': 30000136, 'item': 3777, 'volume': 50}",748.4998517640082
"{'orderType': True, 'location': 60005602, 'price': 28.9, 'system': 30000120, 'item': 27331, 'volume': 6000}","{'orderType': False, 'location': 60003760, 'price': 5.01, 'system': 30000142, 'item': 27331, 'volume': 1000}",476.8463073852296
"{'orderType': True, 'location': 60003760, 'price': 30340.0, 'system': 30000142, 'item': 25593, 'volume': 15935}","{'orderType': False, 'location': 60015027, 'price': 6104.0, 'system': 30030141, 'item': 25593, 'volume': 1}",397.0511140235911
"{'orderType': True, 'location': 60003760, 'price': 11610.0, 'system': 30000142, 'item': 88174, 'volume': 57}","{'orderType': False, 'location': 60006433, 'price': 4228.0, 'system': 30000135, 'item': 88174, 'volume': 1}",174.59791863765372
"{'orderType': True, 'location': 60013147, 'price': 1300.0, 'system': 30000189, 'item': 28361, 'volume': 10}","{'orderType': False, 'location': 60003760, 'price': 549.9, 'system': 30000142, 'item': 28361, 'volume': 4995}",136.4066193853428
"{'orderType': True, 'location': 60000307, 'price': 2200.0, 'system': 30000189, 'item': 28365, 'volume': 10}","{'orderType': False, 'location': 60003760, 'price': 999.5, 'system': 30000142, 'item': 28365, 'volume': 37}",120.11005502751375
"{'orderType': True, 'location': 60003760, 'price': 563.4, 'system': 30000142, 'item': 3645, 'volume': 60205}","{'orderType': False, 'location': 60004360, 'price': 260.4, 'system': 30000136, 'item': 3645, 'volume': 20}",116.3594470046083
"{'orderType': True, 'location': 60003760, 'price': 6651.0, 'system': 30000142, 'item': 25595, 'volume': 509}","{'orderType': False, 'location': 60015027, 'price': 3102.0, 'system': 30030141, 'item': 25595, 'volume': 1}",114.41005802707932
"{'orderType': True, 'location': 60003760, 'price': 22510.0, 'system': 30000142, 'item': 11287, 'volume': 16665}","{'orderType': False, 'location': 60002239, 'price': 11000.0, 'system': 30000194, 'item': 11287, 'volume': 105}",104.63636363636364
"{'orderType': True, 'location': 60000967, 'price': 166000.0, 'system': 30000207, 'item': 16303, 'volume': 177}","{'orderType': False, 'location': 60003760, 'price': 84010.0, 'system': 30000142, 'item': 16303, 'volume': 9}",97.5955243423402
"{'orderType': True, 'location': 1042508032148, 'price': 14120.0, 'system': 30000144, 'item': 25603, 'volume': 16571}","{'orderType': False, 'location': 60012667, 'price': 7496.0, 'system': 30000180, 'item': 25603, 'volume': 2}",88.36712913553896
"{'orderType': True, 'location': 60003760, 'price': 18560.0, 'system': 30000142, 'item': 5439, 'volume': 2278}","{'orderType': False, 'location': 60003136, 'price': 10400.0, 'system': 30000156, 'item': 5439, 'volume': 1}",78.46153846153847
"{'orderType': True, 'location': 60003760, 'price': 5290.0, 'system': 30000142, 'item': 25588, 'volume': 36140}","{'orderType': False, 'location': 60012667, 'price': 3005.0, 'system': 30000180, 'item': 25588, 'volume': 59}",76.03993344425956
